date,underlying_price,option_symbol,option_type,strike,expiry,bid,ask,mid
2025-07-19,627.5800170898438,SPY250721C00570000,call,570.0,2025-07-21,56.55,58.66,57.605
2025-07-19,627.5800170898438,SPY250721C00575000,call,575.0,2025-07-21,51.55,53.66,52.605
2025-07-19,627.5800170898438,SPY250721C00580000,call,580.0,2025-07-21,46.56,48.67,47.615
2025-07-19,627.5800170898438,SPY250721C00585000,call,585.0,2025-07-21,41.56,43.67,42.615
2025-07-19,627.5800170898438,SPY250721C00590000,call,590.0,2025-07-21,36.56,38.67,37.615
2025-07-19,627.5800170898438,SPY250721C00595000,call,595.0,2025-07-21,31.56,33.67,32.615
2025-07-19,627.5800170898438,SPY250721C00599000,call,599.0,2025-07-21,27.57,29.68,28.625
2025-07-19,627.5800170898438,SPY250721C00600000,call,600.0,2025-07-21,26.57,28.68,27.625
2025-07-19,627.5800170898438,SPY250721C00603000,call,603.0,2025-07-21,23.57,25.68,24.625
2025-07-19,627.5800170898438,SPY250721C00605000,call,605.0,2025-07-21,21.57,23.68,22.625
2025-07-19,627.5800170898438,SPY250721C00607000,call,607.0,2025-07-21,19.58,21.69,20.634999999999998
2025-07-19,627.5800170898438,SPY250721C00610000,call,610.0,2025-07-21,16.58,18.69,17.634999999999998
2025-07-19,627.5800170898438,SPY250721C00611000,call,611.0,2025-07-21,16.4,16.83,16.615
2025-07-19,627.5800170898438,SPY250721C00612000,call,612.0,2025-07-21,14.59,16.7,15.645
2025-07-19,627.5800170898438,SPY250721C00613000,call,613.0,2025-07-21,14.59,14.73,14.66
2025-07-19,627.5800170898438,SPY250721C00614000,call,614.0,2025-07-21,13.6,13.73,13.665
2025-07-19,627.5800170898438,SPY250721C00615000,call,615.0,2025-07-21,12.61,12.74,12.675
2025-07-19,627.5800170898438,SPY250721C00616000,call,616.0,2025-07-21,11.62,11.75,11.684999999999999
2025-07-19,627.5800170898438,SPY250721C00617000,call,617.0,2025-07-21,10.64,10.76,10.7
2025-07-19,627.5800170898438,SPY250721C00618000,call,618.0,2025-07-21,9.66,9.78,9.719999999999999
2025-07-19,627.5800170898438,SPY250721C00619000,call,619.0,2025-07-21,8.67,8.8,8.735
2025-07-19,627.5800170898438,SPY250721C00620000,call,620.0,2025-07-21,7.72,7.83,7.775
2025-07-19,627.5800170898438,SPY250721C00621000,call,621.0,2025-07-21,6.77,6.88,6.824999999999999
2025-07-19,627.5800170898438,SPY250721C00622000,call,622.0,2025-07-21,5.83,5.92,5.875
2025-07-19,627.5800170898438,SPY250721C00623000,call,623.0,2025-07-21,4.92,5.0,4.96
